Date,Price,Fees(BTC),MinerRevenuePercentage,Issuance(BTC)
2018-02-05T00:00:00+00:00,6849.54255932203,235.20767148254302,0.09999267725185845,2052.335368697414
2018-02-06T00:00:00+00:00,7738.64395967271,226.18550629097302,0.0964002898969191,2061.4184476102373
2018-02-07T00:00:00+00:00,7624.59538953828,212.9653652646004,0.09234475807816461,2024.0536416589575
2018-02-08T00:00:00+00:00,8218.58085184103,197.5709050127718,0.08730090923538798,1975.734436451588
2018-02-09T00:00:00+00:00,8660.45346785505,184.34676293867187,0.08283597972343769,1939.7051318951394
2018-02-10T00:00:00+00:00,8530.29280479252,171.6748694788383,0.07802631481407898,1920.679490408247
2018-02-11T00:00:00+00:00,8096.72848129749,158.0037178477331,0.07226737588799663,1916.532054107216
2018-02-12T00:00:00+00:00,8907.67017913501,146.92733852301615,0.06727896183081698,1936.340547343814
2018-02-13T00:00:00+00:00,8523.96693191116,137.39794800388756,0.06303590408723331,1950.5479789258372
2018-02-14T00:00:00+00:00,9467.3010327294,128.15216684964867,0.05860239509017197,1986.4169815601076
2018-02-15T00:00:00+00:00,10106.7330835769,120.0706694871903,0.05594348172194901,1942.8023588650942
2018-02-16T00:00:00+00:00,10189.3164833431,112.28482342378712,0.052525780472086184,1945.2645640069575
2018-02-17T00:00:00+00:00,11085.5984143776,104.23074608706182,0.049091169326163524,1934.9189935060879
2018-02-18T00:00:00+00:00,10452.0919772063,96.8089205099259,0.04566366561499856,1946.179119317827
2018-02-19T00:00:00+00:00,11139.3557305669,91.21267965243455,0.043087509091443855,1956.0317294030986
2018-02-20T00:00:00+00:00,11245.9323179427,86.15324283462581,0.04119926407768248,1931.8402632277114
2018-02-21T00:00:00+00:00,10458.8650888369,80.49531159279549,0.03842292732262856,1954.4227303242476
2018-02-22T00:00:00+00:00,9878.15894272355,75.05665451619652,0.03605401287558236,1942.9323890337166
2018-02-23T00:00:00+00:00,10159.0656125073,75.4376481666707,0.03661082236451188,1931.315840404502
2018-02-24T00:00:00+00:00,9686.60177995325,77.5269173633349,0.03808228114635798,1916.4638603539393
2018-02-25T00:00:00+00:00,9603.22747749854,72.97874592666733,0.035682500530987156,1944.093377809697
2018-02-26T00:00:00+00:00,10312.3657130333,69.71947792458306,0.03446252195766326,1921.3942055834848
2018-02-27T00:00:00+00:00,10654.1072948568,67.2456907890083,0.03319927413671422,1931.2199298855492
2018-02-28T00:00:00+00:00,10307.0249663939,65.41555573538034,0.032353500873716017,1932.0049386498556
2018-03-01T00:00:00+00:00,10923.6308617767,63.712631182205634,0.03137134037614756,1948.3168213186236
2018-03-02T00:00:00+00:00,11014.0584672706,60.92158870067846,0.030047631588192198,1948.5272186537957
2018-03-03T00:00:00+00:00,11425.6805654588,58.15161237934261,0.028408639882111637,1986.2113163220713
2018-03-04T00:00:00+00:00,11462.5831975453,54.91814601942506,0.027001490059116496,1969.1849017818124
2018-03-05T00:00:00+00:00,11540.6623205728,53.75057474074553,0.026612134695625376,1955.849289059086
2018-03-06T00:00:00+00:00,10677.0352308591,51.693433808151774,0.025631361471111457,1955.1181279267003
2018-03-07T00:00:00+00:00,9903.0850490941,49.55097459088084,0.024590237349656353,1956.0408619358627
2018-03-08T00:00:00+00:00,9330.47545295149,47.68286132077062,0.023616742109149377,1964.66075419388
2018-03-09T00:00:00+00:00,9278.13918439509,46.15516470692461,0.023047209562621847,1947.203159919645
2018-03-10T00:00:00+00:00,8786.56042314436,45.98741594855755,0.023287327818871363,1922.5527649296894
2018-03-11T00:00:00+00:00,9513.53539976622,44.643621646237875,0.02263782216133768,1921.2961693134782
2018-03-12T00:00:00+00:00,9147.89018059615,43.155380437958264,0.021808943247783538,1932.6966481492934
2018-03-13T00:00:00+00:00,9160.54293278784,45.48223662821177,0.022873767801309317,1937.9845671306318
2018-03-14T00:00:00+00:00,8222.12723904149,44.39596842593474,0.02251837477638502,1920.7364962393028
2018-03-15T00:00:00+00:00,8268.58912244302,43.358925627693466,0.022161207782861108,1905.64443420939
2018-03-16T00:00:00+00:00,8376.90449824664,41.65460194298291,0.02126785447870152,1911.1888799332164
2018-03-17T00:00:00+00:00,7881.66192051432,39.10187874136085,0.020018331528762912,1905.1027699415645
2018-03-18T00:00:00+00:00,8189.01671917008,37.36943363119129,0.019165655774547274,1902.902423698869
2018-03-19T00:00:00+00:00,8537.0156233197,36.57576148854274,0.01873970626009722,1907.2271207365104
2018-03-20T00:00:00+00:00,8895.54717913501,35.93590209997569,0.018826035758035823,1867.2612306444466
2018-03-21T00:00:00+00:00,8879.5942565751,35.36309892622954,0.018502023804481436,1871.3535768138909
2018-03-22T00:00:00+00:00,8710.66493512566,34.32062615170136,0.01805086971834084,1860.8718797121546
2018-03-23T00:00:00+00:00,8771.74632349503,33.279694377739766,0.017718798616289628,1836.0753947481353
2018-03-24T00:00:00+00:00,8610.9885163647,31.88072810927272,0.016903985490876135,1850.3159704046184
2018-03-25T00:00:00+00:00,8440.61092255991,30.48916038186428,0.016309222949117706,1829.9639741040412
2018-03-26T00:00:00+00:00,8171.18435447107,30.055130081631457,0.016046114091457037,1835.593477341036
2018-03-27T00:00:00+00:00,7837.26531940386,29.6696233551782,0.015789926964455275,1843.6442926734067
2018-03-28T00:00:00+00:00,7933.64272969024,29.0506402720315,0.015620699462930631,1824.126256089231
2018-03-29T00:00:00+00:00,7108.5708132671,28.752667366778063,0.015398228015911975,1833.6104740780772
2018-03-30T00:00:00+00:00,6832.14906633548,28.366763693431444,0.015037907415286367,1857.5341648183178
2018-03-31T00:00:00+00:00,6922.2812969024,27.340573561752848,0.014713360832529308,1825.3423942160282
