Date,hash-rate,market-price
2010-12-11T00:00:00,0.09399596625657478,0.23999999999999996
2010-12-15T00:00:00,0.09815636253892376,0.22999999999999995
2010-12-19T00:00:00,0.10310350010494204,0.23857142857142852
2010-12-23T00:00:00,0.1082182727188701,0.2571428571428571
2010-12-27T00:00:00,0.1091472433916311,0.25857142857142856
2010-12-31T00:00:00,0.11530471741606932,0.26857142857142857
2011-01-04T00:00:00,0.12421683933852974,0.2942857142857142
2011-01-08T00:00:00,0.12333099123374318,0.2999999999999999
2011-01-12T00:00:00,0.12900856701216218,0.3128571428571427
2011-01-16T00:00:00,0.13913796328580405,0.3599999999999999
2011-01-20T00:00:00,0.15299968457086247,0.39999999999999986
2011-01-24T00:00:00,0.15528810929240014,0.3971428571428571
2011-01-28T00:00:00,0.16157573309930326,0.42571428571428566
2011-02-01T00:00:00,0.16898194672150027,0.4428571428571429
2011-02-05T00:00:00,0.17883031067973956,0.6442857142857142
2011-02-09T00:00:00,0.1982361860102663,0.8785714285714284
2011-02-13T00:00:00,0.2303343538946883,0.9614285714285714
2011-02-17T00:00:00,0.2590261934781887,1.0585714285714285
2011-02-21T00:00:00,0.310610302619111,1.054285714285714
2011-02-25T00:00:00,0.37154831599081495,0.9642857142857141
2011-03-01T00:00:00,0.4685931451535433,0.9457142857142855
2011-03-05T00:00:00,0.5067330128758327,0.9642857142857141
2011-03-09T00:00:00,0.597677440155298,0.9328571428571425
2011-03-13T00:00:00,0.5726000381572202,0.9057142857142854
2011-03-17T00:00:00,0.47073905955011386,0.9042857142857139
2011-03-21T00:00:00,0.4669515038985613,0.8757142857142854
2011-03-25T00:00:00,0.5156486479899524,0.8257142857142854
2011-03-29T00:00:00,0.5420131393728452,0.8628571428571424
2011-04-02T00:00:00,0.5603809268072919,0.8457142857142852
2011-04-06T00:00:00,0.6225910471783813,0.7957142857142853
2011-04-10T00:00:00,0.6291453907593378,0.7728571428571425
2011-04-14T00:00:00,0.6824322869074056,0.7971428571428568
2011-04-18T00:00:00,0.6812627371440682,0.9485714285714282
2011-04-22T00:00:00,0.678108790258199,1.1228571428571426
2011-04-26T00:00:00,0.7469600475217185,1.3914285714285712
2011-04-30T00:00:00,0.8263122562575635,1.8842857142857146
2011-05-04T00:00:00,0.9579228944903947,3.0271428571428567
2011-05-08T00:00:00,1.100471024207542,3.6842857142857133
2011-05-12T00:00:00,1.2901019680834163,4.001428571428571
2011-05-16T00:00:00,1.5666916153910992,6.218571428571428
2011-05-20T00:00:00,1.9280031818972447,8.137142857142855
2011-05-24T00:00:00,2.598869617733605,7.452857142857141
2011-05-28T00:00:00,3.4701116355334487,7.462857142857142
2011-06-01T00:00:00,3.6176413542594257,8.535714285714283
2011-06-05T00:00:00,3.90047872908568,10.295714285714283
2011-06-09T00:00:00,4.94823695859516,16.335714285714282
2011-06-13T00:00:00,6.082953308363065,26.73285714285714
2011-06-17T00:00:00,7.705129377365814,26.315714285714282
2011-06-21T00:00:00,9.102005460594055,19.885714285714283
2011-06-25T00:00:00,11.019536832228633,16.962857142857143
2011-06-29T00:00:00,11.576946991870843,16.7
2011-07-03T00:00:00,11.567054890406988,17.45428571428571
2011-07-07T00:00:00,11.429934849369147,16.379999999999995
2011-07-11T00:00:00,11.106488198983916,15.705714285714281
2011-07-15T00:00:00,11.976675433217062,15.148571428571426
2011-07-19T00:00:00,12.465066275720805,14.299999999999999
2011-07-23T00:00:00,12.45482359540666,14.092857142857143
2011-07-27T00:00:00,13.064530896921976,14.168571428571429
2011-07-31T00:00:00,13.953111123367032,14.134285714285715
2011-08-04T00:00:00,14.232809239908475,13.912857142857147
2011-08-08T00:00:00,13.480222411134246,12.545714285714288
2011-08-12T00:00:00,12.796151423106526,10.754285714285718
2011-08-16T00:00:00,12.943696146014487,10.584285714285716
2011-08-20T00:00:00,12.506918632592145,11.127142857142859
2011-08-24T00:00:00,13.566866316145445,11.582857142857142
2011-08-28T00:00:00,13.27193443970749,11.20142857142857
2011-09-01T00:00:00,12.254607779022535,9.901428571428571
2011-09-05T00:00:00,12.528838357420463,8.937142857142858
2011-09-09T00:00:00,12.700555819144848,8.242857142857144
2011-09-13T00:00:00,12.283937188894544,7.320000000000002
2011-09-17T00:00:00,12.216325946712958,6.448571428571431
2011-09-21T00:00:00,12.179374952927116,5.560000000000002
2011-09-25T00:00:00,12.266637618915317,5.771428571428574
2011-09-29T00:00:00,11.91758695496246,5.610000000000004
2011-10-03T00:00:00,11.347533030673414,5.2100000000000035
2011-10-07T00:00:00,11.037012463908729,5.111428571428576
2011-10-11T00:00:00,10.773083904989178,4.812857142857148
2011-10-15T00:00:00,9.82534044341441,4.387142857142862
2011-10-19T00:00:00,9.369762288651303,4.045714285714292
2011-10-23T00:00:00,8.653863451656225,3.172857142857148
2011-10-27T00:00:00,8.361925889431673,2.9614285714285766
2011-10-31T00:00:00,8.288941498875534,3.238571428571434
2011-11-04T00:00:00,8.367635778166152,3.4314285714285773
2011-11-08T00:00:00,8.512159883134881,3.2671428571428622
2011-11-12T00:00:00,8.546345264191645,3.1114285714285765
2011-11-16T00:00:00,8.763626505807338,3.0642857142857194
2011-11-20T00:00:00,8.439707497531762,2.761428571428577
2011-11-24T00:00:00,7.909563614308019,2.425714285714292
2011-11-28T00:00:00,7.4861394379532,2.4371428571428635
2011-12-02T00:00:00,7.932839134788684,2.6685714285714357
2011-12-06T00:00:00,8.419331418725472,2.9971428571428644
2011-12-10T00:00:00,8.194931033742987,3.0600000000000067
2011-12-14T00:00:00,7.9362833840583695,3.1571428571428632
2011-12-18T00:00:00,7.623887973314068,3.2571428571428633
2011-12-22T00:00:00,8.046619848660997,3.511428571428578
2011-12-26T00:00:00,8.505957984772126,3.961428571428577
2011-12-30T00:00:00,8.866057348138012,4.131428571428577
2012-01-03T00:00:00,8.558451996094558,4.522857142857148
2012-01-07T00:00:00,9.019735260561635,5.428571428571433
2012-01-11T00:00:00,9.423684517271226,6.618571428571435
2012-01-15T00:00:00,9.400122750309508,7.032857142857151
2012-01-19T00:00:00,9.37961895864113,6.978571428571435
2012-01-23T00:00:00,9.298980483817203,6.770000000000005
2012-01-27T00:00:00,9.51143765959493,6.460000000000005
2012-01-31T00:00:00,9.686121881783322,6.087142857142863
2012-02-04T00:00:00,10.215468906962277,5.770000000000006
2012-02-08T00:00:00,10.043684624480733,5.914285714285721
2012-02-12T00:00:00,9.679950634686362,5.86142857142858
2012-02-16T00:00:00,9.934686177704434,5.787142857142864
2012-02-20T00:00:00,10.068121837115793,5.097142857142865
2012-02-24T00:00:00,10.494780658121597,4.5528571428571505
2012-02-28T00:00:00,10.506797655805778,4.831428571428579
2012-03-03T00:00:00,10.884667520298612,5.0300000000000065
2012-03-07T00:00:00,10.380180397562624,4.944285714285719
2012-03-11T00:00:00,11.204804415183506,4.974285714285719
2012-03-15T00:00:00,11.555618974672168,5.058571428571433
2012-03-19T00:00:00,11.262359104582533,5.308571428571433
2012-03-23T00:00:00,11.650896478911182,5.23571428571429
2012-03-27T00:00:00,11.565775774042418,4.880000000000005
2012-03-31T00:00:00,11.82900503977281,4.778571428571433
